name,seed,final_val_accuracy,best_val_accuracy,adaptations_applied,final_hidden_dim,parameter_count,nonzero_parameter_count,weight_sparsity,forward_flop_proxy,activation_elements,method_type,notes
fixed-cnn-patterns,7,0.17249999940395355,0.17249999940395355,0,0,7562,7562,0.0,2061098,4810,baseline,device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
fixed-cnn-patterns,11,0.0925000011920929,0.1899999976158142,0,0,7562,7562,0.0,2061098,4810,baseline,device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
fixed-cnn-patterns,42,0.09999999403953552,0.20749999582767487,0,0,7562,7562,0.0,2061098,4810,baseline,device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
wide-cnn-patterns-bn,7,0.79749995470047,0.79749995470047,0,0,16474,16474,0.0,4505914,7210,baseline,device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
wide-cnn-patterns-bn,11,0.3774999976158142,0.3774999976158142,0,0,16474,16474,0.0,4505914,7210,baseline,device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
wide-cnn-patterns-bn,42,0.3725000023841858,0.39249998331069946,0,0,16474,16474,0.0,4505914,7210,baseline,device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
channel-pruning-patterns,7,0.4749999940395355,0.4749999940395355,5,0,5971,5971,0.0,1194741,3608,dynamic,adaptation=channel_pruning; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
channel-pruning-patterns,11,0.48249998688697815,0.48249998688697815,5,0,5971,5971,0.0,1194741,3608,dynamic,adaptation=channel_pruning; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
channel-pruning-patterns,42,0.492499977350235,0.512499988079071,5,0,5971,5971,0.0,1194741,3608,dynamic,adaptation=channel_pruning; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
network-slimming-patterns,7,0.5649999976158142,0.5649999976158142,1,0,9838,9838,0.0,2352616,5138,workflow,workflow=network_slimming; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
network-slimming-patterns,11,0.3774999976158142,0.3774999976158142,1,0,9838,9838,0.0,2352616,5138,workflow,workflow=network_slimming; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
network-slimming-patterns,42,0.5849999785423279,0.5849999785423279,1,0,9838,9838,0.0,2352616,5138,workflow,workflow=network_slimming; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
