name,seed,final_val_accuracy,best_val_accuracy,adaptations_applied,final_hidden_dim,parameter_count,nonzero_parameter_count,weight_sparsity,forward_flop_proxy,activation_elements,method_type,notes
fixed-cnn-patterns,7,0.17249999940395355,0.17249999940395355,0,,7562,7562,0.0,2061098,4810,baseline,device=cpu; requested_device=auto; torch=2.11.0+cpu; cuda_available=False
fixed-cnn-patterns,11,0.0925000011920929,0.1899999976158142,0,,7562,7562,0.0,2061098,4810,baseline,device=cpu; requested_device=auto; torch=2.11.0+cpu; cuda_available=False
fixed-cnn-patterns,23,0.20000000298023224,0.29499998688697815,0,,7562,7562,0.0,2061098,4810,baseline,device=cpu; requested_device=auto; torch=2.11.0+cpu; cuda_available=False
fixed-cnn-patterns,42,0.10000000149011612,0.20749999582767487,0,,7562,7562,0.0,2061098,4810,baseline,device=cpu; requested_device=auto; torch=2.11.0+cpu; cuda_available=False
fixed-cnn-patterns,99,0.19750000536441803,0.19750000536441803,0,,7562,7562,0.0,2061098,4810,baseline,device=cpu; requested_device=auto; torch=2.11.0+cpu; cuda_available=False
wide-cnn-patterns-bn,7,0.7975000143051147,0.7975000143051147,0,,16474,16474,0.0,4505914,7210,baseline,device=cpu; requested_device=auto; torch=2.11.0+cpu; cuda_available=False
wide-cnn-patterns-bn,11,0.3774999976158142,0.3774999976158142,0,,16474,16474,0.0,4505914,7210,baseline,device=cpu; requested_device=auto; torch=2.11.0+cpu; cuda_available=False
wide-cnn-patterns-bn,23,0.6274999976158142,0.6274999976158142,0,,16474,16474,0.0,4505914,7210,baseline,device=cpu; requested_device=auto; torch=2.11.0+cpu; cuda_available=False
wide-cnn-patterns-bn,42,0.3725000023841858,0.39250001311302185,0,,16474,16474,0.0,4505914,7210,baseline,device=cpu; requested_device=auto; torch=2.11.0+cpu; cuda_available=False
wide-cnn-patterns-bn,99,0.6075000166893005,0.6075000166893005,0,,16474,16474,0.0,4505914,7210,baseline,device=cpu; requested_device=auto; torch=2.11.0+cpu; cuda_available=False
network-slimming-patterns,7,0.6899999976158142,0.6899999976158142,1,,9838,9838,0.0,2352616,5138,workflow,workflow=network_slimming; device=cpu; requested_device=auto; torch=2.11.0+cpu; cuda_available=False
network-slimming-patterns,11,0.3774999976158142,0.3774999976158142,1,,9838,9838,0.0,2352616,5138,workflow,workflow=network_slimming; device=cpu; requested_device=auto; torch=2.11.0+cpu; cuda_available=False
network-slimming-patterns,23,0.6274999976158142,0.6274999976158142,1,,9838,9838,0.0,2352616,5138,workflow,workflow=network_slimming; device=cpu; requested_device=auto; torch=2.11.0+cpu; cuda_available=False
network-slimming-patterns,42,0.5849999785423279,0.5849999785423279,1,,9838,9838,0.0,2352616,5138,workflow,workflow=network_slimming; device=cpu; requested_device=auto; torch=2.11.0+cpu; cuda_available=False
network-slimming-patterns,99,0.48750001192092896,0.48750001192092896,1,,9838,9838,0.0,2352616,5138,workflow,workflow=network_slimming; device=cpu; requested_device=auto; torch=2.11.0+cpu; cuda_available=False
