name,seed,final_val_accuracy,best_val_accuracy,adaptations_applied,final_hidden_dim,parameter_count,nonzero_parameter_count,weight_sparsity,forward_flop_proxy,activation_elements,method_type,notes
fixed-mlp-spirals10,7,0.5973333120346069,0.6679999828338623,0,,236,236,0.0,452,20,baseline,device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
fixed-mlp-spirals10,11,0.6266666650772095,0.6399999856948853,0,,236,236,0.0,452,20,baseline,device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
fixed-mlp-spirals10,23,0.5413333177566528,0.6453333497047424,0,,236,236,0.0,452,20,baseline,device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
fixed-mlp-spirals10,42,0.5999999642372131,0.6480000019073486,0,,236,236,0.0,452,20,baseline,device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
fixed-mlp-spirals10,99,0.699999988079071,0.699999988079071,0,,236,236,0.0,452,20,baseline,device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
edge-growth-spirals10,7,0.656000018119812,0.6813333034515381,3,14,326,326,0.0,626,26,dynamic,adaptation=edge_growth; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
edge-growth-spirals10,11,0.6146666407585144,0.6293333172798157,3,14,326,326,0.0,626,26,dynamic,adaptation=edge_growth; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
edge-growth-spirals10,23,0.6399999856948853,0.6399999856948853,3,14,326,326,0.0,626,26,dynamic,adaptation=edge_growth; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
edge-growth-spirals10,42,0.609333336353302,0.609333336353302,3,14,326,326,0.0,626,26,dynamic,adaptation=edge_growth; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
edge-growth-spirals10,99,0.6213333010673523,0.687999963760376,3,14,326,326,0.0,626,26,dynamic,adaptation=edge_growth; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
gradmax-spirals10,7,0.6599999666213989,0.6946666836738586,2,14,184,184,0.0,352,16,dynamic,adaptation=gradmax; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
gradmax-spirals10,11,0.5706666707992554,0.6119999885559082,2,14,184,184,0.0,352,16,dynamic,adaptation=gradmax; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
gradmax-spirals10,23,0.5973333120346069,0.5973333120346069,2,14,184,184,0.0,352,16,dynamic,adaptation=gradmax; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
gradmax-spirals10,42,0.5799999833106995,0.6013333201408386,2,14,184,184,0.0,352,16,dynamic,adaptation=gradmax; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
gradmax-spirals10,99,0.6146666407585144,0.6413333415985107,2,14,184,184,0.0,352,16,dynamic,adaptation=gradmax; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
den-spirals10,7,0.6613333225250244,0.6959999799728394,2,14,184,184,0.0,352,16,dynamic,adaptation=den; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
den-spirals10,11,0.5706666707992554,0.6079999804496765,2,14,184,184,0.0,352,16,dynamic,adaptation=den; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
den-spirals10,23,0.5960000157356262,0.5986666679382324,2,14,184,184,0.0,352,16,dynamic,adaptation=den; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
