name,seed,final_val_accuracy,best_val_accuracy,adaptations_applied,final_hidden_dim,method_type,notes
fixed-mlp-spirals10,7,0.5973333120346069,0.6679999828338623,0,,baseline,
fixed-mlp-spirals10,11,0.6266666650772095,0.6399999856948853,0,,baseline,
fixed-mlp-spirals10,23,0.5413333177566528,0.6453333497047424,0,,baseline,
fixed-mlp-spirals10,42,0.6000000238418579,0.6480000019073486,0,,baseline,
fixed-mlp-spirals10,99,0.699999988079071,0.699999988079071,0,,baseline,
net2wider-spirals10,7,0.6746666431427002,0.6919999718666077,1,14,dynamic,adaptation=net2wider
net2wider-spirals10,11,0.5546666383743286,0.5986666679382324,1,14,dynamic,adaptation=net2wider
net2wider-spirals10,23,0.590666651725769,0.6013333201408386,1,14,dynamic,adaptation=net2wider
net2wider-spirals10,42,0.5746666789054871,0.5960000157356262,1,14,dynamic,adaptation=net2wider
net2wider-spirals10,99,0.5986666679382324,0.5986666679382324,1,14,dynamic,adaptation=net2wider
gradmax-spirals10,7,0.6600000262260437,0.6946666836738586,2,14,dynamic,adaptation=gradmax
gradmax-spirals10,11,0.5706666707992554,0.6119999885559082,2,14,dynamic,adaptation=gradmax
gradmax-spirals10,23,0.5973333120346069,0.5973333120346069,2,14,dynamic,adaptation=gradmax
gradmax-spirals10,42,0.5799999833106995,0.6013333201408386,2,14,dynamic,adaptation=gradmax
gradmax-spirals10,99,0.6146666407585144,0.6413333415985107,2,14,dynamic,adaptation=gradmax
den-spirals10,7,0.6613333225250244,0.6959999799728394,2,14,dynamic,adaptation=den
den-spirals10,11,0.5706666707992554,0.6079999804496765,2,14,dynamic,adaptation=den
den-spirals10,23,0.5960000157356262,0.5986666679382324,2,14,dynamic,adaptation=den
den-spirals10,42,0.5680000185966492,0.6520000100135803,2,14,dynamic,adaptation=den
den-spirals10,99,0.562666654586792,0.6439999938011169,2,14,dynamic,adaptation=den
nest-spirals10,7,0.6639999747276306,0.6946666836738586,1,12,dynamic,adaptation=nest
nest-spirals10,11,0.5586666464805603,0.5960000157356262,1,12,dynamic,adaptation=nest
nest-spirals10,23,0.5839999914169312,0.5946666598320007,1,12,dynamic,adaptation=nest
nest-spirals10,42,0.5786666870117188,0.590666651725769,1,12,dynamic,adaptation=nest
nest-spirals10,99,0.6386666893959045,0.6386666893959045,1,12,dynamic,adaptation=nest
dynamic-nodes-spirals10,7,0.6573333144187927,0.699999988079071,1,10,dynamic,adaptation=dynamic_nodes
dynamic-nodes-spirals10,11,0.6186666488647461,0.6386666893959045,1,10,dynamic,adaptation=dynamic_nodes
dynamic-nodes-spirals10,23,0.5666666626930237,0.6413333415985107,1,10,dynamic,adaptation=dynamic_nodes
dynamic-nodes-spirals10,42,0.6133333444595337,0.6399999856948853,1,10,dynamic,adaptation=dynamic_nodes
dynamic-nodes-spirals10,99,0.6133333444595337,0.6173333525657654,1,10,dynamic,adaptation=dynamic_nodes
edge-growth-spirals10,7,0.656000018119812,0.6813333630561829,3,14,dynamic,adaptation=edge_growth
edge-growth-spirals10,11,0.6146666407585144,0.6293333172798157,3,14,dynamic,adaptation=edge_growth
edge-growth-spirals10,23,0.6399999856948853,0.6399999856948853,3,14,dynamic,adaptation=edge_growth
edge-growth-spirals10,42,0.609333336353302,0.609333336353302,3,14,dynamic,adaptation=edge_growth
edge-growth-spirals10,99,0.6213333606719971,0.6880000233650208,3,14,dynamic,adaptation=edge_growth
