name,seed,final_val_accuracy,best_val_accuracy,adaptations_applied,final_hidden_dim,parameter_count,nonzero_parameter_count,weight_sparsity,forward_flop_proxy,activation_elements,method_type,notes
wide-cnn-mnist-bn,7,0.817799985408783,0.8443999886512756,0,0,16474,16474,0.0,4505914,7210,baseline,device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
wide-cnn-mnist-bn,42,0.8501999974250793,0.8501999974250793,0,0,16474,16474,0.0,4505914,7210,baseline,device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
network-slimming-mnist,7,0.8568000197410583,0.8568000197410583,1,0,12187,12187,0.0,3119397,5976,workflow,workflow=network_slimming; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
network-slimming-mnist,42,0.8227999806404114,0.8227999806404114,1,0,12187,12187,0.0,3119397,5976,workflow,workflow=network_slimming; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
weights-connections-cnn-mnist,7,0.8289999961853027,0.8289999961853027,6,0,16474,10821,0.3499876176324913,4505914,7210,dynamic,adaptation=weights_connections; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
weights-connections-cnn-mnist,42,0.7342000007629395,0.8191999793052673,6,0,16474,10821,0.3499876176324913,4505914,7210,dynamic,adaptation=weights_connections; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
runtime-neural-pruning-mnist,7,0.8258000016212463,0.8258000016212463,3,0,10156,10156,0.0,2489228,5334,dynamic,adaptation=runtime_neural_pruning; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
runtime-neural-pruning-mnist,42,0.7692000269889832,0.7692000269889832,3,0,10156,10156,0.0,2489228,5334,dynamic,adaptation=runtime_neural_pruning; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
morphnet-mnist,7,0.7770000100135803,0.7789999842643738,1,0,10678,10678,0.0,2617894,5434,workflow,workflow=morphnet; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
morphnet-mnist,42,0.7175999879837036,0.803600013256073,1,0,10678,10678,0.0,2617894,5434,workflow,workflow=morphnet; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
asfp-mnist,7,0.7766000032424927,0.8090000152587891,6,0,8305,8305,0.0,1929619,4692,dynamic,adaptation=soft_filter_pruning; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
asfp-mnist,42,0.7997999787330627,0.7997999787330627,6,0,8305,8305,0.0,1929619,4692,dynamic,adaptation=soft_filter_pruning; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
prunetrain-mnist,7,0.8289999961853027,0.8289999961853027,2,0,12466,12466,0.0,3190786,6026,workflow,workflow=prunetrain; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
prunetrain-mnist,42,0.8342000246047974,0.8342000246047974,2,0,12466,12466,0.0,3190786,6026,workflow,workflow=prunetrain; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
layermerge-mnist,7,0.7986000180244446,0.7986000180244446,1,0,14586,14586,0.0,4502170,7178,workflow,workflow=layermerge; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
layermerge-mnist,42,0.8105999827384949,0.8105999827384949,1,0,14586,14586,0.0,4502170,7178,workflow,workflow=layermerge; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
