name,seed,final_val_accuracy,best_val_accuracy,adaptations_applied,final_hidden_dim,parameter_count,nonzero_parameter_count,weight_sparsity,forward_flop_proxy,activation_elements,method_type,notes
fixed-cnn-cifar10,7,0.36399999260902405,0.5368000268936157,0,0,53186,53186,0.0,10772746,10578,baseline,device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
fixed-cnn-cifar10,42,0.4323999881744385,0.5562000274658203,0,0,53186,53186,0.0,10772746,10578,baseline,device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
wide-cnn-cifar10-bn,7,0.5691999793052673,0.5691999793052673,0,0,92298,92298,0.0,18498346,14090,baseline,device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
wide-cnn-cifar10-bn,42,0.5720000267028809,0.5720000267028809,0,0,92298,92298,0.0,18498346,14090,baseline,device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
deep-cnn-cifar10,7,0.5559999942779541,0.5559999942779541,0,0,76066,76066,0.0,10818346,10738,baseline,device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
deep-cnn-cifar10,42,0.5252000093460083,0.5252000093460083,0,0,76066,76066,0.0,10818346,10738,baseline,device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
squeezenet-style-cifar10,7,0.3529999852180481,0.3529999852180481,0,,46594,46594,0.0,4317184,66570,baseline,device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
squeezenet-style-cifar10,42,0.3034000098705292,0.3118000030517578,0,,46594,46594,0.0,4317184,66570,baseline,device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
condensenet-style-cifar10,7,0.41819998621940613,0.5248000025749207,0,,29418,29418,0.0,11159424,67594,baseline,device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
condensenet-style-cifar10,42,0.5221999883651733,0.5221999883651733,0,,29418,29418,0.0,11159424,67594,baseline,device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
channel-pruning-cifar10,7,0.5113999843597412,0.5297999978065491,2,0,38307,38307,0.0,7640954,8821,dynamic,adaptation=channel_pruning; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
channel-pruning-cifar10,42,0.5307999849319458,0.5307999849319458,2,0,38307,38307,0.0,7640954,8821,dynamic,adaptation=channel_pruning; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
runtime-neural-pruning-cifar10,7,0.520799994468689,0.520799994468689,3,0,29855,29855,0.0,5927546,7789,dynamic,adaptation=runtime_neural_pruning; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
runtime-neural-pruning-cifar10,42,0.49540001153945923,0.5401999950408936,3,0,29855,29855,0.0,5927546,7789,dynamic,adaptation=runtime_neural_pruning; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
asfp-cifar10,7,0.5189999938011169,0.54339998960495,6,0,22625,22625,0.0,4525546,6804,dynamic,adaptation=soft_filter_pruning; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
asfp-cifar10,42,0.546999990940094,0.546999990940094,6,0,22625,22625,0.0,4525546,6804,dynamic,adaptation=soft_filter_pruning; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
weights-connections-cnn-cifar10,7,0.38040000200271606,0.5515999794006348,6,0,53186,34771,0.34998859662460086,10772746,10578,dynamic,adaptation=weights_connections; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
weights-connections-cnn-cifar10,42,0.49619999527931213,0.5529999732971191,6,0,53186,34771,0.34998859662460086,10772746,10578,dynamic,adaptation=weights_connections; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
layerwise-obs-cnn-cifar10,7,0.4235999882221222,0.5163999795913696,6,0,53186,36882,0.30986772084537023,10772746,10578,dynamic,adaptation=layerwise_obs; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
layerwise-obs-cnn-cifar10,42,0.49140000343322754,0.5482000112533569,6,0,53186,36882,0.30986772084537023,10772746,10578,dynamic,adaptation=layerwise_obs; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
network-slimming-cifar10,7,0.4521999955177307,0.5321999788284302,1,0,37111,37111,0.0,7434602,8740,workflow,workflow=network_slimming; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
network-slimming-cifar10,42,0.4717999994754791,0.503000020980835,1,0,37111,37111,0.0,7434602,8740,workflow,workflow=network_slimming; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
morphnet-cifar10,7,0.5544000267982483,0.5544000267982483,1,0,32468,32468,0.0,6338410,7968,workflow,workflow=morphnet; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
morphnet-cifar10,42,0.4763999879360199,0.5217999815940857,1,0,32468,32468,0.0,6338410,7968,workflow,workflow=morphnet; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
prunetrain-cifar10,7,0.5113999843597412,0.5297999978065491,2,0,38307,38307,0.0,7640954,8821,workflow,workflow=prunetrain; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
prunetrain-cifar10,42,0.5307999849319458,0.5307999849319458,2,0,38307,38307,0.0,7640954,8821,workflow,workflow=prunetrain; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
layermerge-cifar10,7,0.48240000009536743,0.5454000234603882,1,0,50530,50530,0.0,10767466,10546,workflow,workflow=layermerge; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
