name,method_type,num_runs,mean_final_val_accuracy,std_final_val_accuracy,mean_best_val_accuracy,std_best_val_accuracy,mean_adaptations_applied,mean_final_hidden_dim,mean_parameter_count,mean_nonzero_parameter_count,mean_weight_sparsity,mean_forward_flop_proxy,mean_activation_elements,best_seed,notes
wide-cnn-cifar10-bn,baseline,2,0.5706000030040741,0.0014000236988067627,0.5706000030040741,0.0014000236988067627,0,0,92298,92298,0.0,18498346,14090,42,device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
deep-cnn-cifar10,baseline,2,0.5406000018119812,0.0153999924659729,0.5406000018119812,0.0153999924659729,0,0,76066,76066,0.0,10818346,10738,7,device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
asfp-cifar10,dynamic,2,0.5329999923706055,0.013999998569488525,0.545199990272522,0.0018000006675720215,6,0,22625,22625,0.0,4525546,6804,42,adaptation=soft_filter_pruning; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
channel-pruning-cifar10,dynamic,2,0.5210999846458435,0.009700000286102295,0.5302999913692474,0.0004999935626983643,2,0,38307,38307,0.0,7640954,8821,42,adaptation=channel_pruning; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
prunetrain-cifar10,workflow,2,0.5210999846458435,0.009700000286102295,0.5302999913692474,0.0004999935626983643,2,0,38307,38307,0.0,7640954,8821,42,workflow=prunetrain; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
morphnet-cifar10,workflow,2,0.5154000073671341,0.0390000194311142,0.538100004196167,0.0163000226020813,1,0,32468,32468,0.0,6338410,7968,7,workflow=morphnet; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
runtime-neural-pruning-cifar10,dynamic,2,0.5081000030040741,0.012699991464614868,0.5304999947547913,0.009700000286102295,3,0,29855,29855,0.0,5927546,7789,42,adaptation=runtime_neural_pruning; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
layermerge-cifar10,workflow,2,0.4787999987602234,0.003600001335144043,0.5177000164985657,0.02770000696182251,1,0,50530,50530,0.0,10767466,10546,7,workflow=layermerge; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
condensenet-style-cifar10,baseline,2,0.47019998729228973,0.052000001072883606,0.523499995470047,0.0013000071048736572,0,,29418,29418,0.0,11159424,67594,7,device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
network-slimming-cifar10,workflow,2,0.4619999974966049,0.009800001978874207,0.5175999999046326,0.014599978923797607,1,0,37111,37111,0.0,7434602,8740,7,workflow=network_slimming; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
layerwise-obs-cnn-cifar10,dynamic,2,0.45749999582767487,0.03390000760555267,0.5322999954223633,0.015900015830993652,6,0,53186,36882,0.30986772084537023,10772746,10578,42,adaptation=layerwise_obs; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
weights-connections-cnn-cifar10,dynamic,2,0.4382999986410141,0.057899996638298035,0.552299976348877,0.0006999969482421875,6,0,53186,34771,0.34998859662460086,10772746,10578,42,adaptation=weights_connections; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
