name,seed,final_val_accuracy,best_val_accuracy,adaptations_applied,final_hidden_dim,parameter_count,nonzero_parameter_count,weight_sparsity,forward_flop_proxy,activation_elements,method_type,notes
wide-cnn-cifar10-bn,7,0.6693999767303467,0.6693999767303467,0,0,92298,92298,0.0,18498346,14090,baseline,device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
wide-cnn-cifar10-bn,42,0.6883999705314636,0.6883999705314636,0,0,92298,92298,0.0,18498346,14090,baseline,device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
deep-cnn-cifar10,7,0.6421999931335449,0.6421999931335449,0,0,76066,76066,0.0,10818346,10738,baseline,device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
deep-cnn-cifar10,42,0.6394000053405762,0.6471999883651733,0,0,76066,76066,0.0,10818346,10738,baseline,device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
network-slimming-cifar10,7,0.6159999966621399,0.6173999905586243,1,0,38798,38798,0.0,7687498,8838,workflow,workflow=network_slimming; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
network-slimming-cifar10,42,0.6345999836921692,0.6345999836921692,1,0,38798,38798,0.0,7687498,8838,workflow,workflow=network_slimming; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
channel-pruning-cifar10,7,0.635200023651123,0.635200023651123,4,0,24353,24353,0.0,4753562,6919,dynamic,adaptation=channel_pruning; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
channel-pruning-cifar10,42,0.642799973487854,0.642799973487854,4,0,24353,24353,0.0,4753562,6919,dynamic,adaptation=channel_pruning; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
weights-connections-cnn-cifar10,7,0.650600016117096,0.650600016117096,5,0,53186,40036,0.24992397749733922,10772746,10578,dynamic,adaptation=weights_connections; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
weights-connections-cnn-cifar10,42,0.6574000120162964,0.657800018787384,5,0,53186,40036,0.24992397749733922,10772746,10578,dynamic,adaptation=weights_connections; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
runtime-neural-pruning-cifar10,7,0.6412000060081482,0.6431999802589417,3,0,32468,32468,0.0,6338410,7968,dynamic,adaptation=runtime_neural_pruning; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
runtime-neural-pruning-cifar10,42,0.646399974822998,0.646399974822998,3,0,32468,32468,0.0,6338410,7968,dynamic,adaptation=runtime_neural_pruning; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
morphnet-cifar10,7,0.6222000122070312,0.6222000122070312,1,0,35561,35561,0.0,6996826,8403,workflow,workflow=morphnet; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
morphnet-cifar10,42,0.6266000270843506,0.6266000270843506,1,0,35561,35561,0.0,6996826,8403,workflow,workflow=morphnet; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
asfp-cifar10,7,0.5896000266075134,0.6209999918937683,9,0,15792,15792,0.0,3122058,5546,dynamic,adaptation=soft_filter_pruning; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
asfp-cifar10,42,0.6118000149726868,0.6172000169754028,9,0,15792,15792,0.0,3122058,5546,dynamic,adaptation=soft_filter_pruning; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
prunetrain-cifar10,7,0.5916000008583069,0.6029999852180481,3,0,37492,37492,0.0,7672938,8996,workflow,workflow=prunetrain; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
prunetrain-cifar10,42,0.6137999892234802,0.6137999892234802,3,0,37492,37492,0.0,7672938,8996,workflow,workflow=prunetrain; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
layermerge-cifar10,7,0.6262000203132629,0.6262000203132629,1,0,50530,50530,0.0,10767466,10546,workflow,workflow=layermerge; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
