name,method_type,num_runs,mean_final_val_accuracy,std_final_val_accuracy,mean_best_val_accuracy,std_best_val_accuracy,mean_adaptations_applied,mean_final_hidden_dim,mean_parameter_count,mean_nonzero_parameter_count,mean_weight_sparsity,mean_forward_flop_proxy,mean_activation_elements,best_seed,notes
wide-cnn-cifar10-bn,baseline,2,0.6788999736309052,0.009499996900558472,0.6788999736309052,0.009499996900558472,0,0,92298,92298,0.0,18498346,14090,42,device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
weights-connections-cnn-cifar10,dynamic,2,0.6540000140666962,0.0033999979496002197,0.65420001745224,0.003600001335144043,5,0,53186,40036,0.24992397749733922,10772746,10578,42,adaptation=weights_connections; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
runtime-neural-pruning-cifar10,dynamic,2,0.6437999904155731,0.0025999844074249268,0.6447999775409698,0.0015999972820281982,3,0,32468,32468,0.0,6338410,7968,42,adaptation=runtime_neural_pruning; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
deep-cnn-cifar10,baseline,2,0.6407999992370605,0.001399993896484375,0.6446999907493591,0.002499997615814209,0,0,76066,76066,0.0,10818346,10738,42,device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
channel-pruning-cifar10,dynamic,2,0.6389999985694885,0.0037999749183654785,0.6389999985694885,0.0037999749183654785,4,0,24353,24353,0.0,4753562,6919,42,adaptation=channel_pruning; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
network-slimming-cifar10,workflow,2,0.6252999901771545,0.009299993515014648,0.6259999871253967,0.008599996566772461,1,0,38798,38798,0.0,7687498,8838,42,workflow=network_slimming; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
morphnet-cifar10,workflow,2,0.6244000196456909,0.002200007438659668,0.6244000196456909,0.002200007438659668,1,0,35561,35561,0.0,6996826,8403,42,workflow=morphnet; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
layermerge-cifar10,workflow,2,0.6181000173091888,0.008100003004074097,0.6186999976634979,0.007500022649765015,1,0,50530,50530,0.0,10767466,10546,7,workflow=layermerge; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
prunetrain-cifar10,workflow,2,0.6026999950408936,0.01109999418258667,0.6083999872207642,0.0054000020027160645,3,0,37492,37492,0.0,7672938,8996,42,workflow=prunetrain; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
asfp-cifar10,dynamic,2,0.6007000207901001,0.01109999418258667,0.6191000044345856,0.0018999874591827393,9,0,15792,15792,0.0,3122058,5546,7,adaptation=soft_filter_pruning; device=cuda; requested_device=auto; torch=2.11.0+cu128; cuda_available=True; torch_cuda=12.8; cuda_device=NVIDIA GeForce RTX 4070 Laptop GPU
